appid,Name,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022
608000.0,Buzz Aldrin: Cycling Pathways to Mars,,,,,,,,,,,,,5.68,1.21,1.53,1.0,0.46,0.32,0.31,0.28,0.32,0.23,0.27,0.22,0.31,0.2,0.15,0.34,0.09,0.62,0.31,0.15,0.19,0.37,0.27,0.18,0.65,0.27,0.42,0.32,0.21,0.29,0.45,0.65,0.61,0.6,0.62,0.26
619250.0,Gonio VR,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,0.05,1.09,0.43,0.09,0.52,5.75,4.84,0.4,0.03,0.01,0.24,0.16,0.18,0.13,0.29,0.28,0.14,0.04,0.59,0.25,0.22
620040.0,Multiplicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625190.0,Great Pyramid VR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625480.0,LIV: VIVR,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.11,0.04,0.03,0.02,0.02,0.01,0.04,0.05,0.09,0.22,0.42,2.08,2.73,1.28,0.59,0.49,0.02,0.13,0.11,0.23,0.33,0.19,0.14
630510.0,PsychLabVR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633300.0,GlobalMap Astro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638310.0,Family Tree Heritage™ Platinum 15 – Windows,,,,,,,,,,,,,,,,,,,,,,,0.28,0.48,0.34,0.15,0.31,0.24,0.22,0.1,0.53,0.32,0.01,0.51,0.27,0.07,0.2,0.09,0.09,0.05,0.03,0.09,0.03,0.05,0.12,1.19,0.88,0.87
638920.0,BeanVR—The Social VR APP,,,,,,,,,,,,,,2.19,2.12,0.74,0.92,0.16,0.11,0.35,1.65,0.88,0.37,0.19,0.25,0.41,0.16,0.11,0.27,0.33,0.62,0.37,0.42,0.22,0.45,0.43,0.51,0.5,0.5,0.18,0.45,0.68,0.88,0.51,0.41,0.59,0.41,0.48
650090.0,VeeR VR:VR Video and Movie Platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650460.0,After Solitary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655580.0,Micro Cosmic Worlds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656770.0,Douarnenez VR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667110.0,Altar Show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668020.0,Hindenburg 3D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668030.0,Blue Flame VR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668490.0,VR conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668660.0,CUR3D Steam Edition,0.77,1.12,0.42,0.93,0.78,0.97,0.99,1.34,0.88,1.27,0.87,0.51,0.38,0.69,0.36,0.4,1.44,1.33,1.23,1.47,0.8,0.91,0.73,0.79,1.75,1.5,1.3,1.19,0.93,1.67,1.13,0.93,1.07,1.0,0.81,0.76,0.97,1.02,1.22,1.2,1.19,1.06,1.07,0.89,1.35,1.19,1.27,1.34
672760.0,Oneiric Masterpieces - Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677310.0,MyMoney,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.52,0.19,0.43,0.15,0.01,0.23,0.01,0.14,0.03,0.12,0.07,0.06,0.01,0.07,0.01,0.01,0.3,0.42,0.75,0.94
683880.0,VR Robotics Simulator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692500.0,PianoBoard Server,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707280.0,ResumeMaker® Professional Deluxe 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710360.0,Personality Psychology Premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714030.0,StudyX - Save Game Codes & Study Any Subject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716140.0,PALEO museum VR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724460.0,Palm Reading Premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.01,0.02,0.09,0.01,0.08,0.01,0.01
724590.0,Sharecare YOU VR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,0.66,0.47,0.96,0.86,0.82,1.01,1.61,0.94,1.35,1.1,3.65,2.43,2.06,1.3,1.32,1.07,1.14,2.15,1.23
725610.0,foreverloops LONGPLAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727030.0,Museu do Círio de Nazaré em Realidade Virtual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728920.0,Tarot Readings Premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730360.0,Sharecare VR 2017,1.67,1.06,0.75,1.31,3.34,3.48,2.91,4.53,4.6,2.94,2.73,4.47,3.01,2.89,5.34,5.18,3.55,3.64,3.23,2.75,3.42,1.66,0.61,1.67,1.0,2.06,2.46,1.79,1.04,0.9,1.01,1.13,1.2,0.99,0.96,0.77,1.18,1.2,1.6,1.78,1.08,1.19,1.49,1.08,1.35,0.86,0.97,1.34
737820.0,High Mountain Roller Coaster VR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738100.0,Becoming Homeless: A Human Experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738310.0,The VU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740250.0,Neos VR,3.94,5.12,5.75,7.57,8.72,10.13,13.42,15.57,13.5,12.48,13.28,19.94,19.47,23.52,29.99,32.97,35.97,43.1,52.84,57.41,60.07,68.93,79.36,84.58,109.68,118.11,123.0,153.29,172.32,164.12,178.33,170.8,180.95,182.56,168.52,168.7,181.53,194.9,172.53,165.9,154.68,139.8,240.21,289.18,205.7,179.61,173.74,171.01
