appid,Name,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022
44600.0,GTR - FIA GT Racing Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44680.0,RACE Injection,0.06,0.03,0.05,0.04,0.03,0.06,0.07,0.05,0.06,0.03,0.03,0.06,0.03,0.02,0.01,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.06,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.0,0.03,0.01,0.01,0.03,0.02,0.21,0.01,0.0,0.0,0.0,0.0
44690.0,GT Legends,0.83,1.05,1.11,1.25,1.06,0.58,0.67,0.68,0.98,1.02,0.95,0.92,0.95,0.81,0.72,0.43,1.21,0.69,0.69,0.55,0.48,0.6,0.34,0.42,0.37,0.26,0.55,0.45,0.47,0.52,0.44,1.01,0.64,0.35,0.86,0.56,0.72,1.07,1.15,0.97,0.52,0.48,0.56,0.73,0.95,1.27,1.03,1.29
45410.0,Ignite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46200.0,A.I.M. Racing,0.13,0.12,0.05,0.09,0.24,0.06,0.18,0.1,0.1,0.15,0.06,0.19,0.12,0.08,0.09,0.08,0.06,0.09,0.11,0.06,0.11,0.33,0.16,0.24,0.27,0.32,0.14,0.16,0.35,0.36,0.25,0.11,0.16,0.07,0.09,0.08,0.14,0.16,0.08,0.11,0.09,0.19,0.13,0.08,0.06,0.34,0.37,0.13
47870.0,Need For Speed: Hot Pursuit,199.87,188.65,151.26,130.14,124.14,145.92,199.56,197.29,137.42,123.3,232.94,240.41,223.4,176.95,185.23,205.96,166.02,255.0,145.19,132.01,115.78,149.62,133.61,105.44,101.65,96.94,90.87,81.72,72.94,70.42,65.99,67.86,57.63,59.94,64.36,58.3,56.7,53.96,51.75,52.2,48.0,48.71,47.89,47.08,45.8,48.2,44.94,52.74
47920.0,Shift 2 Unleashed,19.68,20.41,16.04,14.85,14.74,14.82,21.23,15.98,14.2,12.41,14.76,19.6,20.03,16.56,18.96,21.84,16.99,35.41,24.55,21.08,18.54,22.15,18.93,19.31,25.97,19.85,15.66,13.34,14.25,13.21,9.9,9.24,9.34,8.84,10.7,7.93,8.41,7.63,7.3,7.37,7.42,7.92,6.42,6.51,5.56,6.57,7.35,7.15
50000.0,Nimbus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55140.0,MX vs. ATV Reflex,42.05,39.46,35.77,33.36,35.61,32.69,35.1,32.09,28.33,34.47,40.36,43.64,36.74,34.99,44.26,51.0,46.06,40.72,38.56,36.09,37.26,41.08,45.19,48.94,53.57,53.24,47.52,42.17,38.39,36.21,37.2,37.61,49.53,39.05,45.25,41.09,40.77,38.27,35.01,39.08,35.56,33.06,36.33,33.33,30.41,35.25,33.87,39.79
65070.0,Ride 'em Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71230.0,Crazy Taxi,10.6,9.18,25.0,11.39,8.5,8.95,10.05,7.88,6.44,9.18,7.82,12.29,11.29,10.93,12.17,21.71,13.89,18.93,18.94,12.01,9.55,23.88,14.47,15.77,16.63,15.1,10.62,11.36,18.76,12.73,15.85,11.25,19.29,16.61,12.6,12.74,13.38,11.82,7.9,9.9,8.28,7.83,8.71,8.96,9.19,7.71,7.17,7.56
91100.0,SkyDrift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91900.0,Post Apocalyptic Mayhem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108700.0,Death Rally,1.37,1.7,2.28,1.87,1.55,1.5,1.13,1.06,1.24,1.49,1.44,1.04,1.98,2.05,2.12,1.34,1.52,2.18,2.24,1.56,1.74,1.49,1.45,3.8,2.07,2.08,2.09,1.9,1.84,2.01,1.82,2.13,1.22,2.04,1.55,1.31,1.43,1.86,1.99,1.89,1.46,1.9,1.65,1.36,1.43,1.67,1.49,1.99
110400.0,inMomentum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111100.0,Snuggle Truck,2.05,1.0,1.07,1.32,4.1,3.63,2.39,1.39,1.23,0.89,0.61,0.76,0.68,0.61,0.58,0.46,0.75,0.86,0.98,0.43,0.42,0.39,0.44,0.47,0.32,0.3,0.2,0.24,0.33,0.44,0.35,0.42,0.38,0.24,0.28,0.27,0.17,0.13,0.19,0.87,0.96,0.84,0.6,0.21,0.22,0.56,0.97,1.07
111300.0,Smash Cars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116100.0,Super Toy Cars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200230.0,Off-Road Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201510.0,Flatout 3: Chaos & Destruction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202310.0,Ridge Racer™ Unbounded,2.7,3.0,2.59,2.49,2.72,2.22,2.48,2.49,4.85,2.5,2.47,3.22,2.56,2.39,2.56,3.53,3.53,4.29,3.56,2.44,2.6,2.8,2.94,3.45,2.82,3.06,2.59,2.26,2.75,3.32,2.54,2.44,2.03,2.39,2.61,2.48,2.34,2.27,2.23,2.94,2.47,2.96,3.12,2.88,2.67,2.77,6.62,4.62
204630.0,Retro City Rampage™ DX,2.12,2.33,2.35,3.0,2.59,2.22,2.14,2.38,3.0,1.85,1.6,1.58,1.24,1.78,1.24,1.61,1.6,1.1,1.74,1.92,1.71,2.06,2.1,2.31,1.97,1.41,1.49,1.56,1.69,1.49,1.44,1.63,1.15,1.65,1.73,1.83,1.28,1.26,1.22,1.69,1.38,1.38,1.11,1.39,1.36,1.45,1.34,1.59
207020.0,Bang Bang Racing,0.63,0.4,2.14,0.69,0.49,0.33,0.51,1.17,0.66,0.4,0.38,0.39,1.18,0.51,0.5,0.49,0.37,0.33,0.48,0.43,0.62,0.47,0.33,0.52,0.45,0.42,0.41,0.67,0.51,0.41,1.43,1.04,1.39,1.28,1.19,2.89,1.51,0.72,0.6,0.85,0.5,0.91,0.49,0.84,0.79,1.16,0.81,1.02
207140.0,SpeedRunners,185.32,165.69,131.5,129.73,247.03,203.46,162.74,132.68,104.19,100.95,149.33,228.48,217.11,176.75,337.17,278.05,715.94,270.82,316.45,263.96,180.37,174.03,287.07,386.66,430.51,333.89,325.13,439.12,269.56,334.05,334.86,268.7,212.48,190.23,211.26,282.72,339.99,244.04,175.45,171.78,227.88,266.34,257.4,229.37,170.29,162.34,158.81,237.79
207190.0,Fireburst,0.14,0.16,0.09,0.09,0.07,0.16,0.14,0.09,0.09,0.11,0.12,0.07,0.06,0.11,0.03,0.07,0.1,0.07,0.1,0.03,0.04,0.05,0.02,0.03,0.09,0.04,0.03,0.04,0.04,0.05,0.03,0.1,0.02,0.04,0.08,0.03,0.06,0.05,0.05,0.01,0.04,0.06,0.01,0.01,0.02,0.02,0.09,0.03
208500.0,F1 2012™,50.59,47.96,58.39,65.66,67.05,71.16,70.41,72.17,68.43,60.31,64.15,64.78,47.98,42.4,89.56,109.8,90.37,72.05,78.48,69.12,61.33,77.58,95.03,107.6,91.98,74.66,84.42,103.2,101.31,93.57,103.46,91.1,88.58,89.99,85.85,106.45,110.64,98.14,73.5,75.41,58.36,63.46,57.93,51.72,42.33,41.33,44.32,37.69
209520.0,Mini Motor Racing EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211500.0,RaceRoom Racing Experience,345.46,333.19,322.91,340.48,350.54,313.12,327.36,313.48,312.77,336.84,348.39,513.05,416.36,381.79,669.71,871.42,710.27,522.05,448.22,418.81,482.08,548.04,586.68,626.76,570.44,536.04,522.57,553.19,591.56,577.71,549.44,509.46,503.58,491.62,454.21,483.31,564.78,492.26,391.46,408.84,495.29,427.66,352.46,334.84,364.29,391.4,402.16,436.22
